review_scores_value,accommodates,bathrooms,bedrooms,beds,cancellation_policy,id,host_is_superhost,extra_people,property_type,room_type,price,neighbourhood_cleansed
9.0,1,1.0,1.0,1.0,strict,1407502,0.0,0.0,House,Private room,75.0,West Woodland
10.0,4,1.0,2.0,2.0,flexible,8817038,0.0,10.0,Apartment,Entire home/apt,85.0,West Woodland
9.0,2,1.0,1.0,1.0,strict,4449303,1.0,25.0,House,Private room,80.0,West Woodland
10.0,3,1.0,1.0,1.0,flexible,8255615,0.0,0.0,Apartment,Entire home/apt,90.0,West Woodland
10.0,2,1.0,1.0,1.0,flexible,4053092,1.0,0.0,House,Private room,80.0,West Woodland
10.0,2,1.0,0.0,1.0,moderate,6886633,0.0,10.0,Camper/RV,Entire home/apt,75.0,West Woodland
,3,1.0,2.0,2.0,flexible,8820414,1.0,0.0,Apartment,Entire home/apt,80.0,West Woodland
8.0,2,1.0,1.0,1.0,flexible,3052151,0.0,0.0,House,Private room,70.0,West Woodland
9.0,8,3.5,4.0,4.0,moderate,2339333,0.0,0.0,House,Entire home/apt,350.0,West Woodland
10.0,4,1.0,0.0,1.0,moderate,1618842,1.0,20.0,Apartment,Entire home/apt,95.0,West Woodland
10.0,2,1.0,1.0,1.0,flexible,888967,1.0,0.0,House,Private room,90.0,West Woodland
8.0,12,2.0,4.0,5.0,strict,380950,0.0,20.0,House,Entire home/apt,435.0,West Woodland
10.0,6,1.5,3.0,3.0,strict,8097708,0.0,0.0,House,Entire home/apt,250.0,West Woodland
10.0,2,1.0,1.0,1.0,moderate,5671843,0.0,0.0,House,Private room,65.0,West Woodland
10.0,3,1.0,1.0,1.0,strict,904057,1.0,10.0,House,Entire home/apt,95.0,West Woodland
10.0,3,1.0,1.0,2.0,moderate,7161725,0.0,25.0,Townhouse,Private room,110.0,West Woodland
10.0,3,1.0,1.0,2.0,flexible,9587410,0.0,0.0,House,Private room,50.0,West Woodland
,4,1.0,1.0,1.0,flexible,9202380,0.0,0.0,Apartment,Entire home/apt,95.0,West Woodland
9.0,2,1.0,1.0,1.0,moderate,2238105,0.0,0.0,House,Entire home/apt,100.0,West Woodland
,2,1.0,1.0,2.0,flexible,9545766,0.0,0.0,House,Private room,89.0,West Woodland
10.0,5,1.0,1.0,3.0,flexible,2441908,1.0,10.0,House,Entire home/apt,116.0,West Woodland
10.0,4,1.0,1.0,2.0,flexible,9367465,0.0,10.0,House,Entire home/apt,150.0,West Woodland
9.0,8,2.0,3.0,3.0,strict,3031415,0.0,40.0,House,Entire home/apt,275.0,West Woodland
10.0,6,2.0,3.0,3.0,moderate,843812,1.0,0.0,House,Entire home/apt,180.0,West Woodland
10.0,2,1.0,1.0,1.0,flexible,3835995,1.0,0.0,House,Entire home/apt,97.0,West Woodland
,5,3.0,2.0,2.0,moderate,9732638,0.0,25.0,Townhouse,Entire home/apt,200.0,West Woodland
10.0,2,1.0,1.0,1.0,flexible,3768745,1.0,0.0,House,Private room,120.0,East Queen Anne
9.0,2,1.0,1.0,1.0,flexible,3975434,0.0,50.0,Apartment,Private room,109.0,East Queen Anne
9.0,2,1.0,1.0,1.0,flexible,5620928,0.0,0.0,Apartment,Private room,115.0,East Queen Anne
10.0,2,1.0,1.0,1.0,strict,7381677,1.0,35.0,Apartment,Entire home/apt,199.0,East Queen Anne
10.0,2,1.0,1.0,1.0,moderate,5487934,0.0,0.0,Apartment,Private room,150.0,East Queen Anne
,2,1.0,1.0,1.0,moderate,9028447,0.0,0.0,Apartment,Entire home/apt,100.0,East Queen Anne
10.0,6,2.5,3.0,4.0,moderate,757840,1.0,0.0,House,Entire home/apt,250.0,East Queen Anne
10.0,2,1.0,1.0,1.0,flexible,8848403,0.0,0.0,Apartment,Shared room,39.0,East Queen Anne
9.0,4,1.0,1.0,1.0,strict,7430926,0.0,30.0,Apartment,Entire home/apt,69.0,East Queen Anne
